Date,Open,Close,High,Low,Volume
01/12/17,6342,"6474,2","6475,9","6337,3",406231
17/12/17,"6480,5",6464,"6525,5",6446,461401
24/12/17,"6432,7","6383,8",6457,"6373,5",117555
31/12/17,6404,6652,"6655,9","6388,1",245648
07/01/18,6656,"6762,5","6766,7","6617,3",337936
14/01/18,6770,"6834,5","6843,8",6719,472464
21/01/18,"6813,5","7016,1","7019,1","6812,2",387761
28/01/18,7021,"6754,3","7037,4","6751,2",715504
04/02/18,"6744,1","6412,7","6806,4",6162,1100969
11/02/18,"6436,1","6777,7","6853,8","6411,5",927826
18/02/18,"6777,1","6897,4","6898,6","6690,3",689113
25/02/18,"6915,8","6804,4",7003,"6642,1",847529
04/03/18,"6789,4","7097,5","7099,7","6739,4",809939
11/03/18,"7107,1","7019,8",7185,"7000,1",678596
18/03/18,"7018,1",6532,"7018,9","6504,7",965921
25/03/18,"6533,7","6558,9","6832,4","6407,9",1150362
01/04/18,6547,"6434,3","6642,1","6295,3",1297745
08/04/18,"6453,6","6628,5","6702,1","6450,6",929040
15/04/18,"6678,5","6666,5","6857,2","6629,2",1071947
22/04/18,"6710,9","6659,7","6766,9","6424,3",943750
29/04/18,6662,"6769,5","6783,7","6536,6",838584
06/05/18,"6770,5","6947,6","6972,6","6767,3",726073
13/05/18,"6952,5","6866,4","7007,8","6850,1",566310
20/05/18,"6918,6","6954,2","6997,4","6822,2",551478
27/05/18,"6991,2","7077,9","7084,4","6884,3",640727
03/06/18,"7070,5",7149,"7229,9","7067,2",525030
10/06/18,7128,"7257,4","7291,2","7119,6",666018
17/06/18,"7250,3","7200,2","7332,4","7135,5",885343
24/06/18,"7198,4","7051,5",7199,"6934,8",1096962
01/07/18,"7049,2","7212,4",7217,"6967,3",743090
08/07/18,"7212,8","7377,8","7395,4","7185,2",727740
15/07/18,"7384,7","7350,8","7420,1","7274,7",953890
22/07/18,"7359,1","7290,3","7515,8","7252,8",613378
29/07/18,"7281,8","7396,9","7405,7","7156,1",668085
05/08/18,"7396,9","7419,4","7497,6",7379,563326
12/08/18,"7406,7","7378,6","7468,8","7306,8",739123
19/08/18,"7380,3","7486,4","7489,7","7340,5",588966
26/08/18,"7491,6","7665,2","7689,4","7489,8",409947
02/09/18,"7666,9","7427,2","7687,4","7388,6",597440
09/09/18,"7429,8","7540,2","7594,3","7399,9",818317
16/09/18,"7533,2","7519,4","7604,9","7391,3",591263
23/09/18,"7509,1","7638,3","7657,3","7445,5",708767
30/09/18,"7646,1","7414,4","7700,8","7325,6",689650
07/10/18,"7425,8","7163,9","7430,6","6889,6",994925
14/10/18,"7160,6","7088,1","7349,3","7043,6",1021078
21/10/18,7058,"6863,8","7194,3","6724,9",1256080
28/10/18,"6921,8","6971,1","7134,9",6572,1267717
04/11/18,"6966,5","7022,1","7218,4","6858,6",1116439
11/11/18,"7018,1","6884,1","7094,6","6700,2",1403164
18/11/18,"6862,1",6522,"6922,5","6439,5",1138824
25/11/18,"6531,5","6954,6",6961,"6521,7",1225065
02/12/18,"7041,4","6623,5","7132,7","6589,7",1144652
09/12/18,"6585,6","6583,4","6867,7",6532,1114109
16/12/18,"6573,1","6057,2","6632,5","6009,8",1493266
23/12/18,6010,"6280,8","6388,6","5817,4",1075674
30/12/18,"6308,9","6417,8","6448,8","6125,6",1095134
06/01/19,"6437,4","6601,7","6630,8","6386,7",1409359
13/01/19,"6583,3","6795,4","6817,1","6510,7",902594
20/01/19,"6778,8","6786,3","6802,2","6582,4",670928
27/01/19,6776,"6873,4",6936,"6609,5",822938
03/02/19,"6857,5","6916,5","7032,9","6834,4",1064270
10/02/19,"6917,4","7057,9","7088,8","6889,8",640345
17/02/19,"7072,6","7092,4","7104,9",6999,907404
24/02/19,"7104,4","7153,8","7161,5","7043,2",462893
